Sentence #,Word,Tag
Sentence: 1,Add,O
,Don,B-entity_name
,and,I-entity_name
,Sherri,I-entity_name
,to,O
,my,B-playlist_owner
,Meditate,B-playlist
,to,I-playlist
,Sounds,I-playlist
,of,I-playlist
,Nature,I-playlist
,playlist,O
Sentence: 2,put,O
,United,B-entity_name
,Abominations,I-entity_name
,onto,O
,my,B-playlist_owner
,rare,B-playlist
,groove,I-playlist
,playlist,O
Sentence: 3,add,O
,the,O
,tune,B-music_item
,by,O
,misato,B-artist
,watanabe,I-artist
,to,O
,the,O
,Trapeo,B-playlist
,playlist,O
Sentence: 4,add,O
,this,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,this,B-playlist
,is,I-playlist
,miguel,I-playlist
,bosé,I-playlist
,playlist,O
Sentence: 5,add,O
,heresy,B-entity_name
,and,I-entity_name
,the,I-entity_name
,hotel,I-entity_name
,choir,I-entity_name
,to,O
,the,O
,evening,B-playlist
,acoustic,I-playlist
,playlist,O
Sentence: 6,Please,O
,add,O
,Jency,B-artist
,Anthony,I-artist
,to,O
,my,B-playlist_owner
,playlist,O
,This,B-playlist
,Is,I-playlist
,Mozart,I-playlist
Sentence: 7,Add,O
,an,O
,album,B-music_item
,to,O
,my,B-playlist_owner
,list,O
,La,B-playlist
,Mejor,I-playlist
,Música,I-playlist
,Dance,I-playlist
,2017,I-playlist
Sentence: 8,Add,O
,shame,B-entity_name
,on,I-entity_name
,you,I-entity_name
,to,O
,my,B-playlist_owner
,masters,B-playlist
,of,I-playlist
,metal,I-playlist
,playlist,O
Sentence: 9,Add,O
,artist,B-music_item
,to,O
,playlist,O
,Epic,B-playlist
,Gaming,I-playlist
Sentence: 10,Add,O
,The,B-entity_name
,Private,I-entity_name
,Collection,I-entity_name
,onto,O
,my,B-playlist_owner
,Cena,B-playlist
,Elegante,I-playlist
,playlist,O
,please.,O
Sentence: 11,Put,O
,another,O
,track,B-music_item
,in,O
,my,B-playlist_owner
,electronica,B-playlist
,&,I-playlist
,dance,I-playlist
,playlist.,O
Sentence: 12,add,O
,this,O
,album,B-music_item
,to,O
,the,O
,playlist,O
,called,O
,dishwashing,B-playlist
Sentence: 13,add,O
,Classic,B-playlist
,Punk,I-playlist
,by,O
,Chab,B-artist
Sentence: 14,add,O
,megon,B-artist
,mcdonough,I-artist
,indie,B-playlist
,songs,I-playlist
,for,I-playlist
,slackers,I-playlist
,to,O
,my,B-playlist_owner
,playlist,O
,artist,B-music_item
Sentence: 15,Add,O
,the,O
,name,O
,Shall,B-entity_name
,We,I-entity_name
,Dance,I-entity_name
,to,O
,playlist,O
,Rock,B-playlist
Sentence: 16,add,O
,Lee,B-artist
,Seung,I-artist
,gi,I-artist
,to,O
,my,B-playlist_owner
,Baila,B-playlist
,Reggaeton,I-playlist
,playlist,O
Sentence: 17,put,O
,frank,B-artist
,farian,I-artist
,on,O
,my,B-playlist_owner
,Deep,B-playlist
,Dark,I-playlist
,Indie,I-playlist
,Folk,I-playlist
,playlist,O
Sentence: 18,Include,O
,hohenfriedberger,B-entity_name
,marsch,I-entity_name
,to,O
,my,B-playlist_owner
,Novedades,B-playlist
,Pop,I-playlist
,list.,O
Sentence: 19,add,O
,alexandra,B-artist
,govere,I-artist
,to,O
,my,B-playlist_owner
,anochecer,B-playlist
,urbano,I-playlist
,playlist,O
Sentence: 20,Please,O
,put,O
,maimi,B-artist
,yajima,I-artist
,'s,O
,song,B-music_item
,onto,O
,Operación,B-playlist
,Bikini,I-playlist
,.,O
Sentence: 21,For,O
,my,B-playlist_owner
,playlist,O
,chill,B-playlist
,add,O
,the,O
,name,O
,Cater,B-entity_name
,Fe,I-entity_name
,She,I-entity_name
Sentence: 22,add,O
,when,B-entity_name
,ice,I-entity_name
,met,I-entity_name
,cream,I-entity_name
,to,O
,This,B-playlist
,Is,I-playlist
,Alejandro,I-playlist
,Fernández,I-playlist
,playlist,O
Sentence: 23,Add,O
,Banana,B-entity_name
,Republic,I-entity_name
,to,O
,my,B-playlist_owner
,this,B-playlist
,is,I-playlist
,puccini,I-playlist
,playlist,O
Sentence: 24,add,O
,the,O
,Chamillionaire,B-artist
,track,B-music_item
,to,O
,lina's,B-playlist_owner
,wedding,B-playlist
,classics,I-playlist
,playlist,O
Sentence: 25,put,O
,this,O
,Kan,B-artist
,Mikami,I-artist
,tune,B-music_item
,on,O
,fresh,B-playlist
,finds,I-playlist
,cyclone,I-playlist
Sentence: 26,add,O
,mike,B-artist
,mogis,I-artist
,onto,O
,my,B-playlist_owner
,crate,B-playlist
,diggers,I-playlist
,anonymous,I-playlist
,playlist,O
Sentence: 27,Add,O
,Jon,B-artist
,McLaughlin,I-artist
,to,O
,my,B-playlist_owner
,forever,B-playlist
,country,I-playlist
,playlist.,O
Sentence: 28,add,O
,sheila,B-artist
,e,I-artist
,to,O
,my,B-playlist_owner
,i,B-playlist
,love,I-playlist
,my,I-playlist
,neo,I-playlist
,soul,I-playlist
,playlist,O
Sentence: 29,Can,O
,you,O
,add,O
,something,O
,from,O
,Method,B-artist
,Man,I-artist
,to,O
,my,B-playlist_owner
,this,B-playlist
,is,I-playlist
,mozart,I-playlist
,playlist,O
Sentence: 30,Add,O
,an,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,Hype,B-playlist
,list,O
Sentence: 31,add,O
,track,B-music_item
,to,O
,my,B-playlist_owner
,playlist,O
,a,B-playlist
,sudden,I-playlist
,rainstorm,I-playlist
Sentence: 32,please,O
,add,O
,John,B-artist
,Deacon,I-artist
,to,O
,the,O
,funtime,B-playlist
,activity,I-playlist
,playlist,O
Sentence: 33,Add,O
,track,B-music_item
,to,O
,this,B-playlist
,is,I-playlist
,puccini,I-playlist
Sentence: 34,Add,O
,irving,B-artist
,berlin,I-artist
,to,O
,my,B-playlist_owner
,dishwashing,B-playlist
Sentence: 35,Add,O
,As,B-entity_name
,I,I-entity_name
,Was,I-entity_name
,Going,I-entity_name
,to,I-entity_name
,St,I-entity_name
,Ives,I-entity_name
,to,O
,the,O
,fantasía,B-playlist
,playlist.,O
Sentence: 36,I,O
,want,O
,lay,B-entity_name
,down,I-entity_name
,your,I-entity_name
,arms,I-entity_name
,in,O
,the,O
,indie,B-playlist
,español,I-playlist
,playlist.,O
Sentence: 37,Add,O
,Kevin,B-artist
,Cadogan,I-artist
,to,O
,the,O
,80s,B-playlist
,Classic,I-playlist
,Hits,I-playlist
,list,O
Sentence: 38,Put,O
,Kim,B-artist
,Kibum,I-artist
,in,O
,my,B-playlist_owner
,the,B-playlist
,martin,I-playlist
,garrix,I-playlist
,show,I-playlist
,playlist.,O
Sentence: 39,Can,O
,Super,B-entity_name
,Turnt,I-entity_name
,Up,I-entity_name
,get,O
,added,O
,to,O
,my,B-playlist_owner
,emotron,B-playlist
,playlist?,O
Sentence: 40,Add,O
,the,O
,name,O
,as,B-entity_name
,with,I-entity_name
,gladness,I-entity_name
,men,I-entity_name
,of,I-entity_name
,old,I-entity_name
,to,O
,my,B-playlist_owner
,ultimate,B-playlist
,90s,I-playlist
,playlist,O
Sentence: 41,add,O
,this,O
,song,B-music_item
,onto,O
,hip,B-playlist
,hop,I-playlist
,gaming,I-playlist
,playlist,O
Sentence: 42,Add,O
,Hatfield,B-entity_name
,and,I-entity_name
,the,I-entity_name
,North,I-entity_name
,to,O
,my,B-playlist_owner
,Hot,B-playlist
,House,I-playlist
,playlist.,O
Sentence: 43,Add,O
,chen,B-artist
,jiafeng,I-artist
,to,O
,Ultimate,B-playlist
,00s,I-playlist
Sentence: 44,Add,O
,the,O
,trey,B-artist
,gunn,I-artist
,tune,B-music_item
,to,O
,my,B-playlist_owner
,French,B-playlist
,N',I-playlist
,Heavy,I-playlist
,playlist.,O
Sentence: 45,add,O
,this,O
,track,B-music_item
,to,O
,morning,B-playlist
,classical,I-playlist
Sentence: 46,add,O
,tune,B-music_item
,to,O
,Soft,B-playlist
,Rock,I-playlist
,playlist,O
Sentence: 47,add,O
,to,O
,laundry,B-playlist
,playlist,O
,with,O
,this,O
,song,B-music_item
Sentence: 48,Add,O
,a,O
,track,B-music_item
,to,O
,my,B-playlist_owner
,Alok,B-playlist
,House,I-playlist
,Party,I-playlist
,playlist,O
Sentence: 49,Place,O
,this,O
,tune,B-music_item
,in,O
,workout,B-playlist
,remix,I-playlist
Sentence: 50,I'd,O
,like,O
,to,O
,add,O
,the,O
,artist,B-music_item
,Jesper,B-artist
,Kyd,I-artist
,onto,O
,my,B-playlist_owner
,fresh,B-playlist
,electronic,I-playlist
,playlist.,O
Sentence: 51,add,O
,this,O
,artist,B-music_item
,named,O
,Cleopatra,B-artist
,Stratan,I-artist
,to,O
,my,B-playlist_owner
,playlist,O
,named,O
,30,B-playlist
,Before,I-playlist
,20,I-playlist
,Masterworks,I-playlist
,by,I-playlist
,Teenagers,I-playlist
Sentence: 52,add,O
,erik,B-artist
,santos,I-artist
,in,O
,my,B-playlist_owner
,playlist,O
,Metal,B-playlist
,Xplorer,I-playlist
Sentence: 53,Add,O
,the,O
,tune,B-music_item
,to,O
,Your,B-playlist
,Favorite,I-playlist
,Slaughterhouse,I-playlist
,playlist.,O
Sentence: 54,add,O
,Joe,B-artist
,Gibbs,I-artist
,to,O
,my,B-playlist_owner
,The,B-playlist
,Bachelor,I-playlist
,Party,I-playlist
,playlist,O
Sentence: 55,Please,O
,add,O
,Liberty,B-entity_name
,Forever,I-entity_name
,to,O
,the,O
,road,B-playlist
,trip,I-playlist
,playlist.,O
